Name,Job Title,Location,URL
Xinyuan Wang,"Richmond, British Columbia, Canada
    


          Contact info",Software Engineer at Amazon,https://www.linkedin.com/in/xinyuan-wang-9aa2aa133?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACCc-xIBPk0mEgmyy8aO-STn6WPA2Cl3j7A
Mohammad I.,"Canada
    


          Contact info",Software Engineer,https://www.linkedin.com/in/mohammadirfanghani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABWgq1YBZlIatu2OOVqhIvMxRrv-CuKs4UA
